Country,Population_Per_Million
Argentina,46.1
Australia ,27.1
Brazil,214.8
Canada,38.7
China,1414
Euro Area,446.8
France,67.8
Germany,84.4
Italy,60.3
Japan,124.9
Mexico,126.4
Netherlands,17.2
Russia,146.1
Singapore,5.8
South Africa,60.6
South Korea,51.4
Spain,46.8
Switzerland ,8.7
Turkey,84.8
United Kingdom,67.4
United States,332.4
